Date;Open,Open
2022-03-24;215.000000,
2022-03-25;220.509995,
2022-03-28;222.130005,
2022-03-29;226.070007,
2022-03-30;228.910004,
2022-03-31;228.449997,
2022-04-01;224.550003,
2022-04-04;225.979996,
2022-04-05;234.080002,
2022-04-06;226.910004,
2022-04-07;223.929993,
2022-04-08;222.380005,
2022-04-11;218.419998,
2022-04-12;220.240005,
2022-04-13;211.820007,
2022-04-14;214.889999,
2022-04-18;210.000000,
2022-04-19;210.520004,
2022-04-20;213.610001,
2022-04-21;201.600006,
2022-04-22;190.369995,
2022-04-25;182.729996,
2022-04-26;186.630005,
2022-04-27;174.429993,
2022-04-28;202.919998,
2022-04-29;204.460007,
2022-05-02;201.169998,
2022-05-03;210.449997,
2022-05-04;210.649994,
2022-05-05;218.740005,
2022-05-06;207.339996,
2022-05-09;199.839996,
2022-05-10;199.509995,
2022-05-11;196.330002,
2022-05-12;187.059998,
2022-05-13;192.580002,
2022-05-16;197.050003,
2022-05-17;202.119995,
2022-05-18;200.000000,
2022-05-19;191.199997,
2022-05-20;194.970001,
2022-05-23;195.190002,
2022-05-24;180.550003,
2022-05-25;180.399994,
2022-05-26;182.880005,
2022-05-27;191.360001,
2022-05-31;194.889999,
2022-06-01;196.509995,
2022-06-02;188.449997,
2022-06-03;195.979996,
2022-06-06;193.990005,
2022-06-07;191.929993,
2022-06-08;194.669998,
2022-06-09;194.279999,
2022-06-10;183.039993,
2022-06-13;170.589996,
2022-06-14;166.029999,
2022-06-15;167.199997,
2022-06-16;163.720001,
2022-06-17;161.679993,
2022-06-21;165.929993,
2022-06-22;158.380005,
2022-06-23;156.270004,
2022-06-24;161.729996,
2022-06-27;171.320007,
2022-06-28;169.899994,
2022-06-29;163.570007,
2022-06-30;162.149994,
2022-07-01;160.309998,
2022-07-05;158.139999,
2022-07-06;168.199997,
2022-07-07;169.449997,
2022-07-08;169.979996,
2022-07-11;167.070007,
2022-07-12;164.800003,
2022-07-13;160.160004,
2022-07-14;161.220001,
2022-07-15;160.539993,
2022-07-18;166.750000,
2022-07-19;170.369995,
2022-07-20;177.490005,
2022-07-21;180.630005,
2022-07-22;173.070007,
2022-07-25;169.000000,
2022-07-26;165.940002,
2022-07-27;162.589996,
2022-07-28;161.059998,
2022-07-29;157.690002,
2022-08-01;157.250000,
2022-08-02;158.309998,
2022-08-03;162.690002,
2022-08-04;168.300003,
2022-08-05;166.990005,
2022-08-08;168.000000,
2022-08-09;168.949997,
2022-08-10;175.990005,
2022-08-11;179.710007,
2022-08-12;180.809998,
2022-08-15;178.960007,
2022-08-16;179.440002,
2022-08-17;176.759995,
2022-08-18;174.339996,
2022-08-19;170.199997,
2022-08-22;165.490005,
2022-08-23;162.479996,
2022-08-24;160.600006,
2022-08-25;165.179993,
2022-08-26;168.479996,
2022-08-29;160.660004,
2022-08-30;160.350006,
2022-08-31;167.070007,
2022-09-01;163.580002,
2022-09-02;167.449997,
2022-09-06;160.100006,
2022-09-07;157.759995,
2022-09-08;158.710007,
2022-09-09;163.250000,
2022-09-12;167.389999,
2022-09-13;161.539993,
2022-09-14;153.330002,
2022-09-15;149.800003,
2022-09-16;148.050003,
2022-09-19;145.240005,
